"","Web","connectance","web asymmetry","links per species","number of compartments","compartment diversity","cluster coefficient","nestedness","NODF","weighted nestedness","weighted NODF","interaction strength asymmetry","specialisation asymmetry","linkage density","weighted connectance","Fisher alpha","Shannon diversity","interaction evenness","Alatalo interaction evenness","H2","number.of.species.HL","number.of.species.LL","mean.number.of.shared.partners.HL","mean.number.of.shared.partners.LL","cluster.coefficient.HL","cluster.coefficient.LL","weighted.cluster.coefficient.HL","weighted.cluster.coefficient.LL","niche.overlap.HL","niche.overlap.LL","togetherness.HL","togetherness.LL","C.score.HL","C.score.LL","V.ratio.HL","V.ratio.LL","discrepancy.HL","discrepancy.LL","extinction.slope.HL","extinction.slope.LL","robustness.HL","robustness.LL","functional.complementarity.HL","functional.complementarity.LL","partner.diversity.HL","partner.diversity.LL","generality.HL","vulnerability.LL"
"1","LS.1901.1","0.232156883905255","0.433861721911341","1.99120360559788","1.01",NA,"0.203295648795649","11.1660091451298","66.6439494316132","0.766100033870765","47.3779106212054","0.196667032060408","-0.163343882380574","6.37926289278732","0.150033061816243","21.3496183900654","3.33117189905738","0.564470130990325","0.593871541752986","0.13510742126922","30.51","12.07","1.42406976972786","1.94423071373071","0.420230201928515","0.753912445823919","0.796217826556474","0.393544330509918","0.642928741582319","0.201112007718176","0.287471927484316","0.104849668515422","0.162196030909117","0.435530270635297","2.57911279218107","13.5641828758145","22.32","21.09","3.69188800167016","2.34417149290754","0.772076126708394","0.69363994109976","640.559306615811","494.286161642899","0.871741602564994","2.29263299680015","2.43857870008286","10.3199470854918"
"2","LS.1901.2","0.176684042822531","0.291103880371694","2.05812325947059","1",NA,"0.100577930733697","5.27452036573452","64.0893934509495","0.88391307529454","48.946897541916","0.163640853090197","-0.227694110864786","6.53293621273439","0.12801405499267","28.3460168302799","3.39562855392256","0.53150694322174","0.462719705908042","0.191812889257062","32.97","18.12","1.29123478248616","1.93188222441473","0.451023366916457","0.756759004324215","0.771846424668839","0.460105194958786","0.785576673927842","0.348501241255693","0.182524431464946","0.146473529565133","0.137845266600204","0.23947258900376","6.01926865946666","12.8599986172629","23.73","23.86","3.30355034896581","2.0387618982702","0.753763109448403","0.665398022149055","708.805190000387","709.960547396892","0.865065158798316","2.28627854529431","2.48390372758251","10.5819686978863"
"3","LS.1901.3","0.163811857910542","0.298045112781955","2.12189223057644","1",NA,"0.100210526315789","7.36427346266279","60.4374397096413","0.82698006378197","45.8444478312915","0.129725858620447","-0.204696545472912","5.85291564629752","0.102920182971941","31.5488319991661","3.59478958478553","0.544490581112758","0.478732492105431","0.373856919134595","36.91","19.96","1.1587232947233","2.03883625730994","0.429273538337012","0.591874848357929","0.818641749623353","0.456580406043641","0.568844937440473","0.238664297095666","0.142367596644263","0.137334592004","0.243859596776693","0.298828878226632","6.56482664193278","12.199362251035","32.89","32.9","3.80693474759508","1.96741528898065","0.782420806819068","0.660266354843866","1018.45585495848","934.01943558441","0.994785952717577","1.98868995126851","3.05268408267128","8.65314720992377"
"4","LS.1902.1","0.2985155328523","0.206376486856979","3.66617910246024","1",NA,"0.233939223057644","10.4548800910173","67.317991035312","0.675773512890589","48.6078411340287","0.0250174224270273","-0.030397720028588","8.40130425391812","0.16354589881052","54.4501202844884","4.4982489856346","0.69765438277407","0.608607126091805","0.157437081889234","31","20.39","2.43626132770641","4.46647245564893","0.610253675878402","0.504614193139639","0.957979003587017","0.840139131391449","0.375007872276147","0.385678775519553","0.165932383874662","0.264071197345869","0.276628745203404","0.204454716139025","7.35074509946445","7.62644063877005","45.45","44.2","7.1494104691727","3.67665725157926","0.852282887956472","0.76583883628896","651.441120452819","694.842951459549","2.02244550515431","2.10451336551615","8.14421037010188","8.65839813773437"
"5","LS.1903.1","0.225419099760642","0.24941208299079","2.81268147773776","1",NA,"0.131703966573801","9.56145114788907","60.6861289052047","0.735266104449268","46.3665309251151","0.0762231157356615","-0.172700090025622","6.22590466286671","0.116707216099658","34.5208045737304","3.85340133261442","0.592596365050947","0.530199488793177","0.178255819968252","33.4","20.05","1.57872153907943","3.08980696014624","0.584501278538824","0.503151725117081","0.915979228121667","0.737646595387814","0.351943071833917","0.423100301570811","0.142025660139921","0.199099829194131","0.347289829061195","0.257706308736653","6.82357336976255","8.57197414978985","37.64","37.83","5.19298852114999","2.59380498495586","0.822813200053694","0.711035517271459","1486.65243821835","1312.96039875821","1.55697646639357","1.95264291939932","5.15148296508643","7.30032636064699"
"6","LS.1903.2","0.202173821855396","0.0718195495126858","2.92983838311699","1",NA,"0.0682755469640027","8.5489980679886","57.61623695834","0.711939658471895","39.4503844066882","0.0115810170853229","-0.0570878046836815","5.45172362404666","0.0933157702144709","40.7407760199703","3.70758373503325","0.549875097245535","0.466703813132394","0.281153471382728","31.36","27.13","1.52341810523261","2.81388519254636","0.50816008723397","0.425599306915696","0.911618058295598","0.740185700155644","0.232646210643377","0.347771677056669","0.0889920119117204","0.220825024516762","0.447091691760106","0.230554722057383","10.1831652886098","5.75291857046787","46.25","47.76","4.75678679551143","2.33662158849356","0.811354398494619","0.693620310318274","1506.65604665796","1719.64136496636","1.47459606960735","1.70977893872741","4.95263302405596","5.95081422403737"
"7","LS.1903.3","0.19246858533798","0.137224035602043","2.98683466313024","1",NA,"0.0787802492526631","11.1557685129882","52.2546308983767","0.641403593462453","33.5217579571787","0.0188529022224664","-0.053229042528016","7.10719176627731","0.112179895765878","44.6204635834507","4.18520331804966","0.607279377241789","0.604386493787556","0.228898985053513","36.06","27.35","1.44061580339444","2.83665481032378","0.534126457488487","0.391286652570376","0.916612663023536","0.740584583616171","0.228134591722565","0.332953801604439","0.0914156701903554","0.193376180828691","0.475420694220046","0.299414816198896","9.21075552373579","6.41024047287534","53.84","57.03","5.08871099046203","2.51215428764889","0.820597635686509","0.707264687052916","1424.39476228912","1473.52607520651","1.79225969648484","1.89000948158689","6.91817353528957","7.29620999726505"
"8","HF.1901.1","0.521406706832774","0.761601012508688","1.83681488218454","1",NA,"0.4975","25.750850046233","60.2355216948322","0.329043866755046","40.1745644172966","0.352640618834621","-0.0854050899010014","2.76433753774718","0.0823314166703273","10.8384574227646","2.15369171885881","0.451192742811322","0.324828764861091","0.6829789976614","29.61","4","1.14022349489076","8.59333333333333","0.610113545473827","0.567638325521162","1","0.410327363605687","0.4643558376262","0.193032241149792","0.188970961171754","0.276399497952049","0.410807193772411","0.254995789889255","1.33714752846218","3.58224829316248","13.9","14.49","20.2720028319329","2.2149142236429","0.951192773060953","0.696229375585921","4326.55834261819","4012.8401572442","0.335758698483549","1.09245472792376","1.55935691237065","3.9693181631237"
"9","HF.1901.2","0.445834957916882","0.708611299358453","1.88178878887821","1",NA,"0.405","13.4390896265513","70.079726803485","0.623122860087646","48.6599514553335","0.321843444951065","-0.275489007085524","4.66988295786755","0.137529571109949","12.0347717947392","2.96804799992953","0.597732053118629","0.622053424975522","0.455562747062314","29.05","4.95","1.48890134636097","5.50466666666667","0.554405228795952","0.757700121492929","0.955539587527835","0.269329873680215","0.634459898071819","0.183913123608811","0.465077151688312","0.149780755928264","0.0994866890571349","0.258432976418576","1.49828824671222","15.2033539816506","9.4","8.93","9.70453557677041","2.34756334027256","0.890638197323764","0.696014340894361","1994.76744696448","1740.91432897456","0.571184657050165","1.90808760273502","1.85967268979463","7.48009322594046"
"10","HF.1901.3","0.333117320471589","0.708770757067978","1.71150885177091","1",NA,"0.306357142857143","14.3439223114068","64.5250502613254","0.82404625275448","45.8496206161702","0.382894037330688","-0.374181805301837","4.39251999019059","0.105039543431066","13.924579197673","2.83717403673079","0.527987554701258","0.461628944439382","0.573181712637831","35.74","6.1","1.1342232688088","4.09747619047619","0.476830095956721","0.704817880688562","0.873619814680941","0.245853517548018","0.651454686318671","0.20323894457607","0.355287630975969","0.125528503755956","0.173809004576509","0.268661403962431","1.67519157111086","15.8774986310668","14.49","13.24","6.85717486024676","1.85576370408808","0.842221013331669","0.646755696483438","2220.31060591065","1992.22422509317","0.399908931066382","1.89117584831492","1.5846876327969","7.20035234758428"
